word,frequency
انجامدادن,0
منبع,290458
دینار,11554
صرف,128507
حق,358207
سالم,131972
تیر,153661
خاک,149753
خالیکردن,0
گیره,1213
خان,31059
خارجکردن,0
بعد,1084754
سرمایه,917906
دال,7045
دستگاه,520714
پیش,1625691
مورد,1764239
ساختار,118831
جلودار,1369
ملک,66566
لب,20815
بد,110693
منطقه,903023
دفاع,370836
اطلاعات,749884
درککردن,0
شور,37518
چک,77265
اعتبار,254638
گرد,60367
راهانداختن,0
درخشیدن,392
گرم,154400
ستاره,130916
بادی,12115
منفی,178532
چاپ,269485
بالارفتن,5531
پیچیدن,746
کشتی,142689
نهاد,147930
دستور,308008
کلید,71550
خمار,397
دنبالکردن,0
سکو,6401
مسیر,345236
نظام,749022
پرداختن,21803
شرکت,2236642
خرابکردن,2
اینده,3718
فکرکردن,413
چنگال,5593
مسیله,256
خاکی,13814
سیستم,388740
بستهشدن,0
فصل,337643
خبر,8178347
ارتفاع,39579
نشان,1012567
چهره,131617
کپیکردن,0
بنیان,49444
نرم,189451
شب,324081
حفظکردن,1
حمله,303527
ازبینرفتن,0
حمل,227346
بنیاد,107000
نشاندن,1843
بررسیکردن,0
برد,197660
پخشکردن,0
نقل,766228
شناسایی,228791
ماه,1406589
سنگین,142219
خوابیدن,8522
چرخیدن,1086
پی,283872
نمایش,318826
خوبی,453585
سو,49358
کوته,1235
برگشتن,2426
قدر,68185
قدرت,375844
خرد,64313
فشار,222595
قبولکردن,0
سوزاندن,7082
خطا,23444
ناراحت,35902
خزانه,57931
کوتاه,180664
انتها,11946
وقت,277859
ابتدا,193192
علم,138372
واگذارکردن,44
مدعی,110599
اندازه,180223
ردیف,48535
محیط,326251
کانال,126141
توجه,1321661
رویه,52330
انباشتن,210
ریختن,10815
رییس,615697
ثابت,169134
روپیه,13708
گسترشدادن,0
انسان,263917
تور,23451
صندوق,364934
تصویر,164961
وجه,101182
ترتیب,228189
تیغ,8207
رد,148794
عمر,128391
کانون,126898
هدایت,108761
طول,348293
جاانداختن,95
ولکردن,0
اجراکردن,21
ظرفیت,298567
محکم,27827
صاف,15675
جدی,300812
هوا,160913
عصر,348458
تمامکردن,0
جذب,270468
اتش,1944
جدول,102516
متوجهشدن,0
علاقه,146074
کاهش,1458774
انگاره,1535
مرد,189226
روشنکردن,0
تولید,1697425
جام,246849
مجلس,1341836
تکرار,90066
عنوان,1866487
ابی,4612
حلکردن,0
مولود,4108
ازاد,2896
حلقه,52650
گند,697
یکسر,182
ازبینبردن,0
فیلم,670282
انرژی,393491
رضا,214110
هوشیار,9970
بن,190353
میزبان,81082
حیرت,8476
هسته,196093
تعیینکردن,0
سست,6262
ازادی,1055
شان,136308
گوشه,31937
صفر,124269
چهارپاره,168
شخصیت,108741
حسابی,19706
کلک,1000
مسیول,62
کشتن,12081
الودهکردن,0
روان,88256
تاییدکردن,0
صبح,237667
نشاندادن,12
ساخت,492636
گونه,265848
نشانه,86174
انتشار,7527382
صادرکردن,130
پیشرو,22740
اتشدان,0
محرم,31363
بانک,2298435
نظم,39131
دراوردن,67
لخت,1326
ذخیره,105515
رسمی,335181
پرداخت,893349
پرسشگر,1052
دکوراسیون,4722
تعریف,137710
گوشی,334259
حفره,6836
محافظ,12278
حضور,1400038
سرور,20795
سری,120197
داده,443662
اباد,951
تیز,7515
سابقه,151076
دامنه,46332
اشتباه,124548
دام,112389
مثل,322884
کم,407241
تک,128038
شبکه,657931
داغ,48876
حسکردن,0
فن,34255
دیر,29312
پوشاندن,4187
نابودی,31654
استقبال,187451
ضربی,533
سه,1176968
سوم,281485
ابزار,86374
زنگ,42068
قرارداد,361734
استقامت,10286
کارت,316669
خلاف,109121
ضرورت,139206
تمامشدن,0
خز,444
دورکردن,163
قطعکردن,0
تاباندن,234
بررسی,768060
استاد,152623
مجموعه,298340
عوضکردن,0
روش,268743
کند,2575301
برگشت,55467
استقلال,412869
تنظیمکردن,0
دودی,6897
ابرو,4261
سوراخ,6459
خطر,191459
دوران,291498
برق,271406
خشک,67458
خضاب,137
مربی,71871
بچه,94910
سودا,1695
روشن,155250
خشن,17351
تناسب,25652
برعکس,18382
کوبیدن,2359
استفاده,1558119
قرص,25990
ناحیه,104944
کرون,9381
فکر,326458
مشکل,440460
رفتار,184477
خاموش,40372
سرخشدن,0
مشقت,2101
بلندشدن,223
سپردن,8313
باب,46097
کرسی,25049
پهن,17687
سم,25356
ویژگی,115223
دیدن,73914
خارج,413810
پوسته,7848
مدرک,40811
اقا,1297
بلندی,12518
خارجی,688141
هفته,835902
بلندکردن,174
قلم,65013
پسوپیش,0
ضبطکردن,0
عملیات,319527
سنجیدن,448
کناره,15604
طراحی,288340
خرابشدن,0
دوشیزه,362
تنگشدن,0
قبضه,6930
مانع,121554
بینظمی,12
ته,13452
سن,158770
خنثی,23856
زنجیره,50161
سیرکردن,78
خدمت,219954
خدمتکردن,0
طراحیکردن,0
فرازاوردن,0
جلو,76227
وظیفه,158069
جابازکردن,1
جادادن,34
ترککردن,0
سازمان,1977685
شکستخوردن,0
باقیمانده,25827
ساکت,14706
گذاشتن,44123
افت,153135
جابهجا,17
گستردن,193
جو,64587
ترکیبکردن,0
دستبهنقد,0
جایگه,15
پایداری,52541
انتقال,329337
ثبتکردن,0
گرفتگی,16699
پر,208829
مد,56734
جاافتادن,90
نوبت,71389
بورس,587680
گبر,72
جفت,8014
تشخیص,180362
تسلیم,28323
جداساختن,4
بال,17845
جاگذاشتن,77
پذیرش,122718
بالازدن,23
پاک,82169
پارک,68294
گردش,59517
نیمه,197440
منتقلشدن,0
عضو,561974
راندن,5544
جنگ,384736
فرستادن,6322
پایین,242014
وضع,111945
فرمان,59752
گزارش,2699948
ردشدن,165
افتادن,19944
ترکمن,5728
فرهنگ,380202
شیوه,120050
تجاوزکردن,1
سخت,221181
مرگ,204750
مقاومت,167177
گران,122232
فرد,354840
امتیازدادن,20
سختی,76756
شکار,22233
امتیاز,138428
اضافه,385049
دریده,221
شکارچی,5065
شنیدن,27595
نور,129945
پایان,802572
مفهوم,53749
مدار,38467
بیرونکردن,0
کتابخانه,36398
ارایهکردن,0
بیان,1185070
نوشته,188146
امدن,653
حاضر,642265
بیروندادن,0
ارایه,119711
سربراوردن,0
تخت,39196
بهره,444792
ارایهدادن,0
کارگر,61502
حاکم,94056
جرم,84722
علامت,23963
ایجادکردن,31
نوک,8314
تکه,15846
گام,132612
مهره,10585
کاشتن,902
حالت,163002
تخریب,97033
بالاکشیدن,62
حاصل,172763
نقاش,7190
جستن,1717
جستجوکردن,12
ذکر,151474
واداشتن,665
عسلی,1869
سوارشدن,473
سنا,26128
مذهب,16795
ناازموده,0
کروبی,15922
نااندیشیده,18
ملاحظهکردن,0
دو,2153300
هنر,140953
دستان,18292
برش,10375
گیرنده,14508
سهگانه,8
اغازکردن,0
چشمبسته,0
ترازو,2240
کنار,441632
محکمه,2094
طبق,327631
دستکشیدن,0
کشیدهشدن,0
ورود,453291
طبقه,94198
ورودی,59129
برخوردکردن,21
خمشدن,0
وسیله,84367
ترسیدن,489
نادرست,45030
تمام,819175
دشواری,20265
معاون,878557
محک,8501
دست[کسی]امدن,0
دلار,858567
بازوبند,3093
تجمع,49419
تخم,72866
تقسیمکردن,0
مکتوب,14556
عمیق,45540
انباشتهکردن,0
مدل,241801
دهانه,6256
اطمینان,91408
کارشناسی,120567
نابودکردن,161
قطر,209104
تخلیهکردن,0
کلاس,68307
مانده,100839
تاج,30982
روزانه,206490
طریقه,2028
سازه,18250
لیمو,10840
تمثیل,742
2اردیبهشت,0
مکعب,33483
گیرانداختن,22
پیکان,30131
ابدار,9
خواب,131970
رنگساز,4
عروس,18594
ورق,14728
سوارکردن,116
تریاکی,184
بازدارنده,10460
سنگچین,66
سبب,173766
عرصه,240134
یار,15985
خلقکردن,0
یاری,34852
لیسانس,15748
ساییدن,235
تخته,9273
معرفیکردن,0
معرفی,468366
تربیت,91084
ساکنشدن,0
چسبیدن,755
نابایست,0
زیبا,73347
خلاصه,46680
مانعشدن,0
دستزدن,0
اگاهانه,68
کامل,332742
اعتماد,241285
15دی,0
عرق,22224
تحلیل,141629
سنگینی,38833
ساکتشدن,0
نابهنگام,1183
بازرسی,83847
نابهوقت,0
ساکن,64559
قطعهقطعهکردن,0
مخالف,114887
دواردیبهشت,0
انسانی,195817
کشوقوس,0
تردست,106
تحریککردن,0
اغاز,2460
1تیر,0
افتابمهتاب,0
سند,140028
کشیده,25017
وحشتناک,10149
اغازنمودن,0
واگذارنمودن,1
برداشت,164332
بازگشت,172720
رنگ,175711
استعداد,26683
دستخط,1558
ترتیبدادن,0
سنی,59428
قضاوتکردن,0
استوار,19140
زیاد,234670
تابلو,13705
طبیعی,270625
طفیلی,169
پیله,3104
بادامی,1195
لایهلایه,0
بالابردن,4569
لاک,8082
لودگی,430
عایله,36
واردشدن,445
کشاورزی,884899
لایهای,0
داستان,124008
دماوند,18021
بالا,439054
کشف,147674
عبارت,102118
بادکردن,37
سرفصل,7960
قشنگ,4471
درد,104023
مهاجم,55102
مهار,56912
ولی,609279
عامیانه,2465
تضمین,62144
مقابلهکردن,0
تصویبکردن,0
لایه,31853
عبورکردن,10
ابادان,183
اندیشه,63568
تست,54355
تعهد,65049
دمکرده,96
روح,68459
دمکردن,0
وعده,127232
افسونگر,301
سرپرست,149715
دنا,15571
انتخابکردن,0
دمدار,16
طیکردن,0
کمان,5815
واسطه,90094
تعریفکردن,0
گوشواره,992
ظهر,69743
لطف,42203
مفسر,2685
افزایش,2042429
انتظار,332979
لختکردن,0
روایت,75802
اشوب,57
تصدیقکردن,0
اشراق,1508
محدود,135894
مهربانی,11423
روانی,100926
کارگاه,60500
دراز,23777
مهمان,34754
سرد,59713
تصدیقداشتن,0
محرک,19579
تصادفی,9673
پیشقراول,236
مفتی,4609
درباز,35
گوینده,5947
درخواست,244612
کشدار,463
تشریفات,15898
تشریفاتی,4594
بحث,396560
علفی,507
دانه,39264
اشتیاق,12413
سرطان,156738
اشتغال,256431
افزودن,13836
پیشامدن,2
لطیف,3210
کلیشهسازی,0
دانگ,2910
سرسوزن,71
بامداد,39930
اصلاح,362893
بر,4519468
منتقلکردن,0
ره,165716
پیچاندن,224
دلاور,4102
پیچ,13569
کلام,28365
سلاح,95076
ده,100659
زیرزبانی,106
برابر,534006
تقدیر,104452
درک,89665
معلوم,57922
خودداریکردن,0
دریافت,671229
مینا,7527
خوشامدگفتن,0
رهبر,236432
ماما,1804
معماری,44126
دریافتن,294
قوه,203232
سترونکردن,0
برایت,3655
خواننده,49647
مکانیک,7042
سلمانی,963
وضعیت,579169
گیج,3980
قهرمان,83774
کمی,170110
خودبهخود,1
قوس,5207
سلسله,18900
اسمان,285
براندازکردن,3
درکنمودن,0
خود,4601189
خونی,28436
مالیدن,978
چرخاندن,1091
افتضاح,2222
کسبکردن,0
سرگردان,9322
میان,704471
سرگذشت,3476
طهارت,4350
عجب,5169
سستی,3399
چرخش,15379
مالک,41952
سخنگفتن,0
مومن,11772
چرت,2764
واقعیت,131697
مددکار,3488
پیاده,73412
بدر,7784
تجدید,43327
قید,26716
سفر,397055
بافت,64885
هواگرفتن,3
4شهریور,0
مالکی,6748
روحانی,558959
پوشیده,13071
قیام,21755
اسیب,1156
انتخاب,587460
سخن,136556
منظمکردن,0
هوشیاری,17320
عقب,102914
گوشدادن,1
بدهبستان,0
پانزدهدی,0
گفتن,40769
فعالیت,641964
نگاشتن,251
حجم,291877
نگاه,320074
رسمورسوم,0
نگرانی,132209
حذف,258215
تکلیف,106588
نعشکش,6
بیست,109021
نظموترتیب,0
حجت,151208
فعال,304918
شش,175843
مبنا,16841
نگهبان,101970
حرفهای,4166
نصبکردن,0
زرتشتی,824
صامت,869
حس,70940
اتحاد,45845
حذفکردن,0
پرداختکردن,0
ریسه,460
غواص,3787
شروع,317795
چهل,28759
بیرونامدن,0
نفوذکردن,0
جگری,99
کثیف,9193
بیرون,130355
مرکب,6846
فشرده,17229
گاو,19511
بیروناوردن,0
نقاشیکردن,2
ریشه,71936
نقد,107385
ارامش,890
ثبات,125390
متوقفکردن,4
نقاشی,33736
نفر,828205
نغمهساز,0
نغمهپرداز,0
ایجادشدن,13
نغمهسرا,0
نکته,219555
مریم,36441
اهسته,61
حافظ,44987
شعر,65745
حافظه,82704
صاحب,109087
مشت,10371
شایستگی,11801
شبانه,53666
بیصدا,91
چهارمشهریور,0
ابکردن,0
امل,1431
شایسته,45275
تیره,15739
شبرنگ,802
مشابه,183405
فوت,68451
دکور,4606
نزدیک,345018
ابکشیدن,0
اتاق,288319
شاه,77727
یکهتاز,0
مرغ,221280
صرفکردن,0
گلستان,73062
یکمتیر,0
نخودی,415
چهارشهریور,0
حقیقت,92808
حل,392116
نر,3623
ارگ,4465
حلال,26034
تکثیر,18473
ارزیابیکردن,0
الودن,2
زردشتی,85
مسیولیت,97
تکتک,9
هادی,52693
ارس,8877
صحبتکردن,0
شدید,183703
ارزش,513096
شدت,186121
الوده,160
الودهساختن,0
بهایی,5957
فناوری,426763
نسخه,348766
الو,1206
فندقی,356
مبلغ,201215
کد,7405973
شبیه,73751
پابرهنه,763
ریزریز,71
حسن,303759
کپینمودن,0
کپی,22129
پایدار,106874
فرازکردن,0
فراش,321
جاکردن,10
فرازامدن,0
نوا,2640
اجرا,327355
فراهمکردن,0
جلسه,531734
جلبکردن,0
چپ,48184
شیرین,59246
اختلال,82889
فراری,24422
امادهکردن,0
گریزان,1471
شیشهشور,0
شیشه,50514
بیتوجهی,25
جانی,16957
غیرمستقیم,18319
اماده,1621
جمعیت,207232
پاییناوردن,0
رخدادن,49
چینی,106238
اولتیر,0
فراگرفتن,329
بیتوجهبودن,0
احساسکردن,0
نوع,389391
امام,701047
گره,32996
نی,7676
نیاز,582912
فانتزی,5739
فاسد,17390
گرمی,24895
اوج,73286
کت,6940
احتیاط,37093
پانزدهمدی,0
احساس,217253
گرفته,465642
اخترشمار,1
پالش,8
فر,40001
چکیده,3908
ربودن,5312
مسابقه,123441
پایاپای,3107
شیار,3261
پایانیافتن,0
رگوریشه,0
فتوکپی,421
اخطار,15627
بیدقت,0
گستردهشدن,0
اهلیت,2160
جوان,293239
جابهجاکردن,0
گستره,14123
شمردن,3338
شکست,208555
شناور,29090
شکاف,31634
جاروکش,11
پختن,2974
جاداشتن,0
شناختن,5750
جوی,34182
متحدشدن,22
غیررسمی,21636
جاافتاده,659
مسدس,128
راحت,60449
اراسته,10
غیرحرفهای,4
اذری,72
شکستدادن,0
مسخره,7084
جوشخورده,0
زبده,3211
نقلکردن,0
نه,660553
شیشهپاککن,0
جانور,2429
اجازه,238601
شیطان,22260
ادا,7821
ادابورسوم,0
ادادراوردن,0
فرونشاندن,663
شیشهشوی,0
پاییندست,2
فرصت,261718
اخلاقی,77098
جمله,638194
اداره,297002
جاری,442319
ادراک,4341
جازدن,42
ادراککردن,0
پتروشیمی,227175
اویزه,5
الکی,2205
ادامهدادن,0
نمره,35918
کبابی,2302
شیوا,7005
قبولی,28752
کوفتن,66
اپاچی,8
مایل,23188
کوفته,1059
رویان,2859
ضایع,5968
بست,23819
امید,281010
ناموزون,819
دوماردیبهشت,0
همانند,83520
یواش,1017
رفتوامدکردن,0
قایم,1391
مایع,34872
بینمک,1
دولت,2633874
سیاهشدن,0
زنده,151896
بزرگی,148167
سیاه,103057
پسندیدن,98
اساس,823319
سیاهکردن,0
ضبط,51859
عکس,222010
زن,268433
سیما,113384
صوت,14041
توجهکردن,0
بیمزه,37
پرکننده,293
خانواده,461322
سینا,41494
مشهدی,5035
یک,4887211
سینه,36985
خانم,125544
خاموشی,10949
سیل,50144
بیمه,971130
ایین,514
بشر,92539
گماشتن,184
مردانه,13936
دوچرخهسوار,0
هل,13231
پزشکی,312601
هلدادن,0
قربانی,64231
قرارگرفتن,3184
مطلب,402538
الان,145059
قربانیکردن,0
نازک,7838
البالویی,0
قرمزشدن,27
انفعال,5810
بریدن,3416
دوری,26294
گندمی,849
رقم,307060
قراردادن,6914
دودکردن,27
برنده,75432
عنصر,21814
ان,221757
استخوانی,5901
استر,1255
مرتبه,25420
اکثریت,43632
بره,5986
کهنه,12800
قدی,1712
زندگیکردن,1
همراه,820554
امین,46678
روند,479490
دوستداشتن,0
خردهفروشی,6
پشتیبان,13069
دوش,36378
گناهکار,1471
همخوان,1812
عیار,26174
پشتیبانی,121526
قدم,67635
برگ,54653
ناظر,59218
خروجی,42187
اژانس,158
برگه,23299
دوستدار,7141
تنظیم,181701
یکسره,2698
کوچک,237255
دیلم,1341
مبارزه,307800
ناکامی,16709
خادم,17022
بنا,154397
یکتیر,0
توقف,105422
صندل,1012
کر,4890
کیسه,20380
هفتم,62057
کیس,6574
ازادکردن,7
حملهکردن,0
کیش,86977
بلوک,18080
چنگزدن,0
هفت,157755
اموزش,3017
هزار,1969314
مردن,2655
توسعه,1215140
پروانه,75468
هشیار,1553
مشخصه,6787
شاخه,28612
یکرو,7
ناپاک,1031
حنفی,446
خالق,8734
حیات,58947
دیسک,10912
حمایت,662917
حنبلی,247
بلند,130954
سیه,739
ایمپلنت,3049
حوزه,910248
کیفور,72
چینش,9617
دقیق,128091
رقیب,63411
مقدر,1431
کاج,3044
ایستاده,14253
رواج,22423
راننده,72025
رخ,234912
چینه,282
مغزدار,379
دقیقه,246255
دوزاری,164
کاروانسرا,1192
مردهکش,0
اهنپاره,0
دمیدن,1339
مشخصکردن,1
مقرری,4015
بارور,3033
رامشگر,47
دکتر,453978
مقدم,56754
رامشگری,13
رشدکردن,30
دکاندار,90
چهارم,149813
اولدی,24
مطرب,402
کاستن,6656
اگاهشدن,0
دمبریده,0
چشمی,14479
مطالعهکردن,0
رقت,668
دوز,6510
اند,101465
مغرب,11124
اگاهی,821
کاربنی,27
چرخخوردن,0
رهنما,5636
مردودی,1188
معنی,70092
مزاج,8077
روال,33193
دنده,14140
رختاویز,0
چانهزدن,0
روا,4588
مخلوط,22353
رنجور,1163
معاونت,157136
انگشتزدن,0
چربیگیری,0
مدرسه,118837
مشتری,95817
باریکه,1372
بارکش,326
کارتخوان,6258
مرتببودن,0
رشددادن,8
راکت,5155
راهیافتن,0
معتادکردن,7
چشم,243383
باریکشدن,0
معاشر,164
دوربین,132646
چپگرد,18
چربیگیر,0
چهارشاخ,17
مخاطره,9802
مراقبت,47349
راهکار,53876
مردودکردن,1
رایت,5878
دچاروقفهکردن,0
مربع,34892
رمزی,2607
باجخواه,0
انضباط,18962
مخاطب,74409
محکمکردن,0
دنبالهدار,2
رمانتیک,2149
معین,24602
رمیده,57
مرتب,28794
راهپیماییکردن,0
دفاعکردن,0
معترض,15786
راهنمایی,51605
دوتایی,1107
باری,30254
باجبگیر,0
مزاحم,9254
مزخرف,1393
مزرعه,18194
دیپلم,16756
ربط,16567
دفعکردن,0
مطرحکردن,0
چرخ,29938
اگاه,597
چشمه,13430
انفجاری,9778
مخفیکردن,0
انفجار,73493
دلالت,5257
رل,352
دفع,29133
مقصود,10735
دیگر,1846743
ربایشگر,0
مستحق,5990
رب,6551
باریک,11405
باجگیر,209
مخرج,1035
کاری,311349
مختصر,8592
دوختن,805
رند,3205
مفیدبودن,38
مسند,6188
چرخکار,27
ایتالیایی,26184
رفاه,162911
مردم,1862203
مصحح,413
دهر,482
مسمومکردن,0
مشغولشدن,0
مصدوم,28767
اهلسنت,10
دید,123218
مصرف,741510
اهل,127433
مسی,40157
مرفه,5087
دیدار,466025
معلق,13073
اندرون,361
روایتکردن,0
رز,4248
چهرهسازی,0
چلیپا,301
کارگری,46798
مردمسالاری,2397
انهدام,12011
بابل,11286
مرغی,4322
مدیونبودن,0
مداح,9011
اهلسنتوجماعت,0
معلومکردن,0
مدیریت,606865
کاردکس,195
چنگ,8299
اپارات,56
مدهوش,177
ایجاد,1022781
رستن,104
رساندن,30953
انی,4583
اندوخته,4707
ذخیرهکردن,0
رنگکردن,0
دیدنی,14553
چند,951566
دلگندگی,0
چتر,10873
بابا,12426
بادقت,381
دهابان,0
ذره,12252
اینقدر,11886
مدافع,88168
چتکردن,0
دیروز,125636
مفارقت,183
دیرش,108
رسمکردن,0
دلگیر,1053
دله,458
چهلم,2071
معلقماندن,0
مفصل,15885
چرا,575940
دلیجان,2078
دهاردیبهشت,0
دلوجگر,0
چروک,5187
دلالی,10012
مش,1535
باراوردن,0
مرحله,317716
باربر,542
رفیق,8530
مقایسهکردن,0
رهن,20303
مستند,70322
اویزان,20
راستگرد,96
کاروان,41859
دگر,1893
مقاوم,26173
چهارگوش,302
چله,2441
دولا,615
دوطرفه,3779
مراد,9047
مضمون,13728
کاربر,72480
اهن,1167
کارتکس,100
رقابت,317293
کاربردی,54904
رشتن,12
دواتشه,1
رام,12753
ردیفکردن,0
دلجو,162
معرکه,2766
چرککردن,0
مسکن,806287
راحتی,90810
مرده,11000
دماغ,2325
رادیکال,7218
راز,28046
راس,35860
رهبری,313602
دولاپهنا,3
دهماردیبهشت,0
دهلیز,908
دوم,557178
انقلابی,98554
دهمابان,0
دمان,62
راسته,2693
مذهبی,65731
اهلکتاب,0
چیرگی,413
دلجوی,9
مرحمت,888
چیدن,2698
ای,1909386
مرخصی,16861
دیمی,305
گچگرفتن,0
مقیاس,18873
ثقیل,239
پارسی,8053
ثمر,39981
بیخود,950
بیرمق,3
نپذیرفتن,1195
ثابتکردن,0
بیدغدغه,0
بیدارکردن,41
جاریکردن,0
بیخیالی,45
جاذبه,17159
بیدارشدن,196
بیرونانداختن,0
تکیهکردن,0
بیزحمت,18
تکهتکه,0
تکنیکی,6765
پادشاهی,12452
تکفرزند,1
تکیهگاه,0
پارادوکس,1588
بیرونی,20376
تکیهگه,0
بیریخت,7
جالب,124594
نگاهکردن,0
پاسخ,530091
پاسخنامه,940
نیش,4544
بیثمر,2
جانشینکردن,0
جاندار,992
بیتوجهیکردن,0
نیرویجاذبه,0
پاسور,1844
بیتفاوت,22
پاسدادن,0
جانکندن,0
پاسخگو,27233
نیمبند,1
بیحساب,8
بیحسابوکتاب,0
نیمهکاره,5
بیخاصیت,1
جامد,7794
جامجم,6
بیحاصل,13
بیحال,39
جانب,40724
نیمرخ,458
نیمروز,5596
توپ,53189
یکمدی,0
توپزدن,0
یکم,39958
بیضا,192
توهمزا,3
یکلا,22
بیعلاقهبودن,0
هدردادن,140
هدف,508287
هراسان,1653
تیاتر,287
یکمی,330
تونیک,278
یکسان,44080
توفیق,28998
توفیر,567
یکرنگ,169
هشتمی,966
یکدی,2
یکدست,3776
یکضرب,859
هزینه,503730
تولیدی,185840
هستی,20900
بیقواره,2
بیستونهبهمن,0
تکان,18031
بیستوپنجماسفند,0
هاجوواج,0
تکاندادن,1
تیزاب,42
بیسروسامانی,0
هاله,4719
بیسواد,742
بیستوپنجاسفند,0
بیستونهمبهمن,0
نگریستن,436
نگفتنی,43
نگهبانی,2628
تیغزن,3
تیغزدن,0
هجدهمی,65
تیزی,1260
یکپارچه,36948
هتلداری,2318
بیسیرت,0
تیپ,31512
پابرجا,5820
تیمور,3498
تیمارگر,4
جنس,55186
نمایشدادن,0
پاکشدن,0
نمایشگاه,310604
جهنمی,1546
نمودن,21417
نمودکردن,0
جنگل,63398
پختهشدن,0
جهانگیر,4715
نقلی,4573
پاککننده,2
جنگنده,27756
جنب,7496
نهاندان,0
بهوجوداورنده,0
جمهور,486454
نهایت,210353
نهایی,260933
جمعگرایی,1
نهاذر,0
بههمخوردن,0
جناح,36547
جمیع,3940
بههوارفتن,0
پاپتی,80
پخششدن,0
پاشدن,13
پراب,18
جین,7349
جیره,3357
نقرهای,17
بهشدت,31
جوشیدن,456
جگر,6172
حاجتمند,77
بهدین,16
پرتراکم,343
حاضرشدن,31
حاشیهنشینی,3
پراکندن,179
نقشه,75462
جوزا,93
نقصان,2588
جور,21425
جوابدادن,0
جواب,82041
جوش,20861
جوشخوردن,0
پدیداورنده,0
پدیداوردن,0
جوشان,1140
بهپایانرسیدن,0
بیاشکال,0
نونهال,499
نونوار,431
پانزدهماردیبهشت,0
پانزدهاردیبهشت,0
جذبکردن,0
بیارزش,2
نوزدهمفروردین,0
پایاندادن,0
نوسازی,75410
جریمه,81461
نوشیدن,19898
پانزدهمی,69
بیاعتنا,8
جد,7640
جت,9485
نیرنگ,1604
پاشیدن,2183
پاشنه,10233
جدا,99138
بیانداشتن,0
نیام,210
بیانفرمودن,0
بیاننمودن,0
بیانکردن,0
نهماذر,0
جماعت,20039
نهیب,802
جلوگیریکردن,0
نواختن,3539
نوار,30524
جلورفتن,9
بهکاررفتن,0
