id,search_value,synset,pos,semanticCategory,example,gloss,frequency
65279,دل,27443,Noun,LOCATION,--نامعلوم--: ميانگين شبانه‌روز لحظه تحويل برج دلو ساعت ۱۶:۴۴ روز ۳۰ دي است. *,--نامعلوم--:يازدهمين برج فلکي از دايرةالبروج است. اين برج خط سير خورشيد در بهمن ماه به مدت ۲۹روز و ۱۴ساعت و ۰۸دقيقه است. *,10
35843,نتيجه,12081,Noun,PHENOMENON,عاقبت ورزش نکردن، اضافه وزن و بيماريهاي قلبي و عروقي است* همهٔ اين بدبختي‌ها مولود بيسوادي است,پديده اي که بدنبال پديده ي ديگر و ناشي از آن باشد,10
30050,خانه,13714,Noun,ARTIFACT,اسب در خانه روبروي وزير قرار دارد,در شطرنج هر يک از 64 مربع سياه يا سفيد که مهره ها را روي آنها قرار مي دهند,10
35186,مغز,14836,Noun,FOOD,مغز پرسي 2 هزار تومان است,نوعي غذا که از مغز گوسفند يا گاو تهيه مي شود,10
38280,گروه,13578,Noun,GROUP,تمام گروه آنها در درگيري با دشمن زخمي شدند,واحدي شامل 9 نفر از سربازان را گويند.,9
23718,کندن,8937,Verb,change,بايد يک مرتبه بکني و الا اين جوري نمي توني کاري از پيش ببري.,ترک کردن چيزي يا کسي، به راه خود رفتن,9
31833,سال,12653,Noun,TIME,سال 1388  او 4 سالش بود.,دوره‌ي زماني معادل 12 ماه را گويند.,9
22050,فهميدن,7900,Verb,cognition,--نامعلوم--:او منظور شما را متوجه نشده است. * --ازخودم--:وقتي موقعيت را توضيح داد، تازه گوشي دست‌ام آمد که اين دو نفر با هم تباني کرده‌اند. *,--نامعلوم--:درک کردن يک ايده يا موقعيت  *,9
16351,مثبت,222,Adjective,material,نتيجه آزمايش بارداري مثبت بود,نشان دهنده حضور يا وجود چيزي,9
155337,شکستن,48058,Verb,body,سخن:افتادم دستم شکست. *,سخن:ضربه يا فشار وارد شدن به استخوان و شکاف يا ترک برداشتن آن   *,9
31825,ساعت,12614,Noun,TIME,--نامعلوم--:از آن روز به بعد اعتمادم را به او از دست دادم.  * --نامعلوم--:سر کلاس چرت مي زند.  * --نامعلوم--:گاه جنگ عده‌اي از شدت خستگي بر زمين مي‌افتادند. *,--نامعلوم--:نقطه يا دوره‌اي از زمان را گويند. *,9
32175,سهم,14564,Noun,ATTRIBUTE,ارتفاع اين مثلث 3 سانتيمتر است.,خطي که در هر شکل هندسي از هر رأس بر ضلع مقابل آن راس عمود مي‌شود.,9
24898,برپاکردن,14502,Noun,ACT,برگزاري جشن عروسي بسيار باشکوه بود.,ترتيب دادن مقدمات کاري و آن را مرحله به مرحله پيش بردن تا به نتيجه رسيدن را گويند.,9
26208,سايه,14342,Noun,STATE,--نامعلوم--:سايه اش روي ديوار افتاده است *,--نامعلوم--:سياهي جسم انسان يا هر جسم ديگر که در برابر آفتاب يا روشنايي چراغ بر روي زمين يا بر چيز ديگر بيفتد. *,9
37949,کف,14232,Noun,BODY,تشنج نموده بود و کف از دهانش بيرون مي آمد,مايعي سفيد يا زرد رنگ که هنگام صحبت کردن يا تشنج حاصل از صرع يا بر اثر خشم از دهان خارج مي شود,9
19033,بردن,7660,Verb,possession,امدادگران مجروحان را به بيمارستان انتقال دادند.,چيزي يا کسي را از جايي به جاي ديگر بردن و جابجا کردن,9
38080,کنترل,10727,Noun,ACT,کنترل نامحسوس باعث دستگيري راننده پرايد شد* زندانبان از عهده کنترل زندانيان برنمي آمد,مديريت کسي يا چيزي,9
27430,انقلاب,10320,Noun,EVENT,ديده انقلاب چنان‌که نوشته‌هاي متفاوت باقي‌مانده از دوران باستان نشان مي‌دهد قدمت بسيار دارد,"دگرگوني شديد و معمولاً ناگهاني در نظام اقتصادي, اجتماعي, سياسي يا فرهنگي که در شيوه ي توليد, طبقات حاکم, نهادهاي اجتماعي, سياسي يا فرهنگي جامعه تغيير بنيادي مي دهد",9
30876,دور,10503,Noun,ACT,--نامعلوم--:چرخش ژيمناست بسيار سريع و ماهرانه بود *,--نامعلوم--:حرکت دايره اي به دور محور خود را گويند *,9
31695,زندگي,13292,Noun,MOTIVE,موسيقي تمام زندگي اوست.,انگيزه براي زندگي کردن را گويند.,9
14332,بزرگ,384,Adjective,spatial,--نامعلوم--:البرز يکي از رشته‌کوههاي عظيم جهان است * وب:هيکل ستبري داشت *,--نامعلوم--:داراي اندازه يا حجم بسيار زياد *,9
32869,صورت,12385,Noun,STATE,"اگر باران نيايد, در آن حالت مي توانيم به گردش برويم",شرايط ويژه,9
61944,پرده,11214,Noun,ATTRIBUTE,--نامعلوم--:رنگ‌هاي خنثي در پرده‌هاي مختلف از روشن تا تيره وجود دارند. *,--نامعلوم--:کيفيتي در رنگ که موجب تفاوتي جزئي بين رنگ‌هاي نزديک به هم مي‌شود. *,9
23902,گشتن,8415,Verb,stative,اوضاع چه طوره؟ کار و کاسبي خوب مي گرده؟,اداره شدن و جريان داشتن کار,9
20938,رفتن,8618,Verb,change,رنگ و روت پريده يه آب قندي چيزي بخور.,از دست رفتن چيزي,9
55653,زير,22028,Adverb,مکان,پايين سرسبز بود اما در ارتفاعات دار و درخت کمتري ديده مي شد,واقع شده در ارتفاع کمتر,9
31638,زمين,13300,Noun,OBJECT,--نامعلوم--:زمين خوبي براي کاشت چغندر است. *,--نامعلوم--:مواد پوشانندة لاية بيروني سطح  زمين که گياهان در آن رشد مي‌کنند. *,9
139067,سرباز,31010,Adjective,spatial,--نامعلوم--:استخر روباز ويژه خانم‌ها تاسيس شد *,--نامعلوم--:بدون پوشش * --نامعلوم--:بدون سقف *,9
31613,زمان,12693,Noun,TIME,ديگر زماني برايم باقي نمانده تا کشيدن طرح را تمام کنم. *وقت امتحان تمام ش.د,دوره‌اي که براي فرد در نظر گرفته شده‌است تا کاري را انجام دهد.,9
28326,تار,22879,Noun,SUBSTANCE,روي کتش يک تار موي طلايي ديدم.,رشته ي بسيار باريک و خم شونده از يک جسم,9
31413,روز,12614,Noun,TIME,--نامعلوم--:از آن روز به بعد اعتمادم را به او از دست دادم.  * --نامعلوم--:سر کلاس چرت مي زند.  * --نامعلوم--:گاه جنگ عده‌اي از شدت خستگي بر زمين مي‌افتادند. *,--نامعلوم--:نقطه يا دوره‌اي از زمان را گويند. *,9
56324,خير,22978,Adverb,نفي,از من پرسيد خودکار دارم و به او گفتم نه,براي نفي و پاسخ منفي به کار مي رود,9
35992,نظر,11378,Noun,COGNITION,--نامعلوم--:او تصميمش را عوض کرد *,--نامعلوم--:ايده اي که از قضاوت ذهني فرد ناشي مي شود و به تصميم گيري منجر مي گردد  *,9
37001,پا,11896,Noun,OBJECT,پاي  کوه باغ قشنگي درست کرده بود,قسمت تحتاني و نزديک به سطح زمين هر چيز,8
32766,صحنه,11878,Noun,LOCATION,--نامعلوم--:پليس به محل وقوع جنايت رسيد *,--نامعلوم--:منطقه يا مکاني که اتفاقي رخ داده است *,8
37248,پست,11431,Noun,COMMUNICATION,--نامعلوم--:پست هر روز ميليون‌ها نامه را جابجا مي‌کند. *,--نامعلوم--:سازمان و دستگاهي که وظيفۀ خبر رساني را از طريق دفاتر پستي انجام مي‌دهد. *,8
121638,حال,38252,Noun,COMMUNICATION,--ازخودم--:مضارع در زبان فارسي به سه نوع اخباري، التزامي و مستمر تقسيم ميشود. *,--ازخودم--:يکي از زمانهاي فعل که دلالت بر وقوع فعلي در زمان حال، آينده، بيان عادت و ... دارد.   *,8
27249,امر,11468,Noun,COMMUNICATION,"پدر و مادرش از روي دلسوزي ار را نصيحت کردند
*برخوردي که با او شد بهترين عبرت برايش بود",پيشنهادي براي انجام کار و عمل خوب و مناسب که مي تواند اصلاح کننده ي عملي ناپسند باشد,8
32375,شاهد,14777,Noun,COMMUNICATION,شاهد اين غزل را بخوانيد. *او فالي گرفت و شاهد غزل را نيز خواند,در فال گرفتن از ديوان حافظ معمولاً دو بيتي که بعد از غزل مورد نظر آمده است  را شاهد گويند.,8
30968,دين,13209,Noun,COGNITION,--نامعلوم--:براي تقويت دين بايد واقعيات دين را براي افراد بيان نمود *,--نامعلوم--:نهادي که براي بيان عقايد مربوط به خدا بنيانگذاري شده‌است. *,8
32247,سياست,10050,Noun,ATTRIBUTE,مسئولين هيچ سياست روشني را دنبال نمي نمايند,برنامه ي کار يا شيوه ي عمل مسئولين کشور براي اداره ي امور را گويند.,8
31047,رابطه,13628,Noun,STATE,رابطه اين افراد به لحاظ حقوقي چگونه است,وابستگي حقوقي دو يا چند شخص با يکديگر مانند زن و شوهر,8
29650,حاشيه,14458,Noun,COMMUNICATION,--نامعلوم--:پاورقي‌ها خيلي ريز هستند *,--نامعلوم--:توضيحاتي که براي درک بيشتر در بخش پايين صفحه نوشته مي‌شود *,8
31479,روي,11383,Noun,COGNITION,--نامعلوم--:ظاهر آن با باطنش فرق داشت. دنيا هزار رو دارد *,--نامعلوم--:بعد آشکار و نمايان چيزي در مقابل طبيعت واقعي آن *,8
31506,ريال,10262,Noun,QUANTITY,هفته گذشته ارزش هر يک ريال عربستان سعودي به حدود 1100 تومان ايران رسيده بود.,واحد پول عربستان,8
31269,رشد,12228,Noun,PROCESS,رشد عقايد خام او سالها طول کشيد,فرايندي که طي آن چيزي به مراحل بالاتري مي رود,8
29996,حکم,11502,Noun,COMMUNICATION,--نامعلوم--:کسي به امر و نهي رئيس اداره توجهي نکرد * وب:يک کارشناس ارشد مشاوره به والدين توصيه کرد از «بکن‌ونکن» هاي بي‌مورد براي تربيت فرزندان خود پرهيز کنند. *,--نامعلوم--:خواستن مافوق از زير دست که کاري انجام دهد *,8
21594,صافکردن,18267,Verb,change,با اين روش مي توانيد لباس خود را بدون اتو زدن صاف کنيد.,چين و چروک لباس را باز کردن و برداشتن,8
33967,قرار,14057,Noun,ACT,--نامعلوم--:قرار ما فردا در رستوران ساعت 2 ظهر مي باشد *,--نامعلوم--:ملاقاتي که از پيش تعيين شده باشد *,8
137448,جامعه,31815,Noun,COMMUNICATION,--نامعلوم--:روزنامه جامعه که از اولين روزنامه هاي اصلاح طلب محسوب مي شود، نوآوريهايي در روزنامه نگاري ايران ايجاد کرد.  *,--نامعلوم--:اوّلين روزنامهٔ اصلاح‌طلبان ايران پس از انقلاب ۱۳۵۷ ايران است که در بهمن ۱۳۷۶ و پس از آغاز اوّلين دورهٔ رياست جمهوري محمد خاتمي، به چاپ رسيد. *,8
50522,بهوجوداوردن,18648,Verb,creation,مقاله اي نوشت که سروصداي زيادي بلند کرد.,ايجاد کردن آشوب که با سروصدا همراه باشد,8
23591,کارکردن,7588,Verb,contact,بمبي که کار گذاشته بودند عمل نکرد.,به کار افتادن چيزي و به درستي بکار افتادن آن,8
16546,مستقيم,25,Adjective,relation,--نامعلوم--:بايد يک تماس مستقيم با او برقرار کني *,--نامعلوم--:بدون واسطه *,8
31893,سبک,13021,Noun,COGNITION,--نامعلوم--:اين سبک لباس مد شده است *,--نامعلوم--:نوع خاص و متمايزکننده به لحاظ شکل *,8
121237,عالم,38061,Noun,OBJECT,وب:عالم خيال يا مثال، مرتبه‌اي از هستي است که از ماده مجرد است. *,سخن:فضاي ذهني که براي چيزي تصور مي‌شود. *,8
30798,دليل,12730,Noun,TOPS,--نامعلوم--:او انگيزه هاي متعددي براي اين کار داشت. به چه سبب به او کمک کرديد *,"--نامعلوم--:آنچه که کشش, تمايل و نيرويي دروني براي انجام کاري و رسيدن به مقصودي ايجاد کند *",8
37092,پاککردن,12743,Noun,ACT,--نامعلوم--:رفت و رو اتاق تمام شد  *,--نامعلوم--:عمل از بين بردن کثيفي ها و گرد و خاک *,8
33245,عشق,10612,Noun,ACT,عشق او کارش در اداره است,مسئوليتي که بسيار مورد توجه کسي است,8
15137,دستي,401,Adjective,body,به دليل عدم وجود امکانات سرمايشي، از کولر دستي استفاده مي کردند.,قابل حمل با دست,8
34888,مرکز,33207,Noun,ARTIFACT,--نامعلوم--:با حملة ما سه پايگاه دشمن به‌کلي نابود شد.  * --نامعلوم--:سايت دشمن را با موشک منهدم نمودند. *,--نامعلوم--:محل استقرار نيروي نظامي و جنگ‌افزار که عمليات‌ها از آنجا آغاز مي‌شود. * --نامعلوم--:تأسيسات نظامي که محل نصب رادار يا سکوهاي پرتاب موشک يا سلاح‌هاي ديگر هستند. *,8
32053,سطح,13314,Noun,OBJECT,مرکز زلزله ها چندين کيلوتر پايين تر از سطح است,خارجي ترين لايه ي  خشکي ها و درياها,8
16192,ماده,196,Adjective,relation,پرنده ماده روي تخم ها نشسته بود.,ويژگي جنسي از جانوران که مي تواند بچه به دنيا آورد يا تخم گذاري کند,8
35575,موضوع,11126,Noun,COGNITION,سوژه ي او  مردي کشاورز است,چيزي که بوسيله ي نقاش براي نقاشي انتخاب مي شود,8
35605,موقعيت,13031,Noun,ACT,--نامعلوم--:او پست بالايي در سازمان دارد. * --نامعلوم--: چرا موقعيت کاري دلخواه خود را پيدا نمي کنيم؟  *,--نامعلوم--:شغلي در يک سازمان را گويند. *,8
123307,جمع,38711,Noun,ACT,وب:در جمع و تفريق کسرهايي که مخرج آن ها مساوي باشد يکي از مخرجها را مينويسيم (مخرج مشترک، همان عدد در نظر گرفته ميشود) و صورتها را با هم جمع يا از هم کم ميکنيم.  *,سخن:يکي از چهار عمل اصلي حساب که به کمک آن، حاصل روي هم گذاشتن چند عدد يا کميت معلوم ميشود. *,8
19374,بودن,8897,Verb,stative,در خانه بودم  که از تلويزيون خبر را شنيدم.,در جايي حضور داشتن,8
25162,ترک,14136,Noun,PERSON,قوم ترک از خانواده ي آسايي- اروپايي آناتولي منشعب شده است,از اقوام آسيايي که به زبان ترکي تکلم مي نمايند,8
34611,محل,11841,Noun,LOCATION,آنها در محله بالاي شهر زندگي مي کنند.,قسمتي از شهر  يا روستا که معمولاً با خيابانها و کوچه هاي اصلي و فرعي يا با بناهاي خاصي يا داشتن خصوصيتي از قسمت هاي ديگر جدا مي شود.,8
74351,کل,31192,Noun,COMMUNICATION,گاهي صبح از خانه اش صداي کل و هلهله و شادي بلند مي شد و عصرها صداي شيون و فحش و دعوا.,آوايي از سر شادي,8
141002,درهم,475,Adjective,relation,--نامعلوم--:اوضاع آشفته کشور پادشاه را نگران کرد. *,--نامعلوم--:ويژگي آن‌چه نظم و ترتيب و سروسامان ندارد. *,8
61660,نيرو,11743,Noun,GROUP,خيل مردم براي کمک به آسيب ديدگان به راه افتادند,تعداد زيادي از افراد که براي منظور خاصي با هم متحد شده اند,8
29373,جايگاه,14887,Noun,ARTIFACT,--نامعلوم--:هنرپيشه در لژ نشسته بود *,--نامعلوم--:محلي مخصوص و ممتاز معمولاً به صورت غرفه در تالار نمايش يا موسيقي *,8
26143,گرده,11291,Noun,BODY,شانه اش  درد مي کند,هر يک از دو بخش بالايي تنه  که بين گردن و قسمت بالايي و انتهايي بازوها قرار گرفته و بازوها را به تنه متصل مي کند,8
13856,اخر,1372,Adjective,quantity,--نامعلوم--:فصل آخر کتاب * --نامعلوم--:مرحله پاياني  *,--نامعلوم--:ويژگي آن‌چه در پايان مي‌آيد *,8
162083,اصل,49917,Noun,COMMUNICATION,ويکي پديا:در منطق مدرن، اصل نقطۀ شروعي براي استدلال است. *,ويکي پديا:در فلسفه، رياضيات، منطق و فيزيک، گزاره‌اي است که بدون اثبات و به شکل پيش‌فرض پذيرفته مي‌شود و از روي آن ساير گزاره‌ها استخراج مي‌شوند. *,8
36066,نقطه,14937,Noun,COMMUNICATION,در مرس از نقطه و خط استفاده مي شود,علامتي به شکل خال کوچک به صورت تنها يا چندتايي که همراه با خط در الفباي مرس به کار مي رود,8
47310,راست,16246,Adjective,spatial,براي رسيدن به فروشگاه بايد به سمت راست بپيچيد,مربوط به سمت راست,8
29423,جريان,13691,Noun,EVENT,--نامعلوم--:جريان گرما *,--نامعلوم--:حرکت گرما از طريق ملکولهاي هوا  *,8
21798,عملکردن,7585,Verb,social,مطابق گفته او عمل کردم.,رفتار خاصي را از خود نشان دادن,8
33384,عمل,33199,Noun,ACT,"عمل ضرب را يادگرفتي؟*لطفا در هنگام حل مسئله ,عمليات را در پاسخنامه يادداشت نماييد",فرايند يا کاري که به ترتيب معين و با قاعده‌هاي معين بر روي عددها يا نمادهاي رياضي انجام مي‌شود.*محاسبه با روشهاي رياضي,8
30727,دفتر,14372,Noun,ARTIFACT,--نامعلوم--:فردا صبح براي انتقال سند به دفترخانه تشريف بياوريد *,"--نامعلوم--:محل ثبت , تنظيم و صدور اسنادي که جنبهي رسمي و قانوني دارند. *",8
17699,گذشته,2461,Adjective,temporal,"--نامعلوم--:او خاطره‌هاي خوشي از ايام گذشته داشت * سخن:هفتهٔ پيش به مسافرت رفته بوديم
 *",--نامعلوم--:مربوط به زمان پيش از حال *,8
32128,سمت,12868,Noun,ARTIFACT,آنها هر چهار طرف جعبه را رنگ کردند,سطوح خارجي يک شيئ,8
20417,خواباندن,8486,Verb,body,--نامعلوم--:بچه را حمام کرد و خواباند. *,--نامعلوم--:کسي را وادار به خواب نمودن *,8
29009,تن,10156,Noun,PERSON,--نامعلوم--:تن آدمي شريف است *,--نامعلوم--:وجود و ذات شخص. *,8
27616,بازار,32822,Noun,ARTIFACT,--نامعلوم--:بازارها مهمترين محور ارتباطي، اقتصادي و اجتماعي و به عبارت ديگر مرکز شهر بودند و علاوه بر فضاهاي اقتصادي، مهمترين فضاهاي فرهنگي و اجتماعي شهر مانند مسجد جامع و ساير مساجد بزرگ، مدرسه‌هاي علميه، خانقاه‌ها، زورخانه‌ها و غيره در امتداد آن قرار داشتند. *,--نامعلوم--:بنايي قديمي با معماري سنتي داراي راسته‌هاي متعدد و دکان‌هاي مجاور هم براي خريد و فروش کالا *,8
32692,شکل,12738,Noun,TOPS,هندسه علم شکل‌ها است. *شکل مستطيل را رسم کنيد. *اين ساختمان چه شکل زيبايي دارد.,ترکيب و ساختار بيروني و فضايي هر چيز که  متفاوت از ماده‌ي آن است.,8
21368,سوختن,16931,Verb,weather,شمع ها مي سوختند.,به شدت درخشيدن همراه با گرما,8
34003,قسمت,12302,Noun,RELATION,--نامعلوم--:من بخشي از دست نوشته‌هاي شما را خواندم. *,--نامعلوم--:آنچه که در رابطه با چيزي که در درون آن قرار دارد شناخته مي‌شود. *,8
22289,ماندن,8620,Verb,stative,خوشگلي هاش به باباش رفته.,به کسي يا چيزي شبيه بودن,8
33003,طرف,10270,Noun,PERSON,--نامعلوم--:طرف حرفهاي شما کيست *,--نامعلوم--:کسي که مورد خطاب قرار دارد *,8
26306,ادم,14706,Noun,PERSON,او آدم اين کار نيست,شخص مناسب براي انجام کاري,8
38061,کمک,13345,Noun,PERSON,--نامعلوم--:دستيار  من در تهيه ي اسامي *,--نامعلوم--:کسي که در انجام کارها به ديگري ياري  مي نمايد *,8
48262,جداکردن,17068,Verb,stative,--نامعلوم--:رشته کوه ها اين دو کشور را از هم جدا مي کنند.  *,--نامعلوم--:باعث فاصله دو يا چند چيز از هم شدن *,7
54789,اوردن,21639,Verb,contact,ميتونم دوستم و بيارم به مهموني؟,همراهي کردن کسي با خود در رفتن به جايي,7
147139,شتري,46239,Adjective,behavior,--ازخودم--:عشوه شتري * دهخدا:ناز شتري *,--ازخودم--:نامتناسب و ناخوشايند *,7
35912,نسبت,12309,Noun,RELATION,--نامعلوم--:نسبت و رابطۀ خانوادگي آنها را با هم نمي‌دانستم *,"--نامعلوم--:رابطۀ ناشي از مربوط بودن افراد به يکديگر به واسطۀ خون, ازدواج يا قبول کردن کسي به فرزندي *",7
31132,راي,10452,Noun,ACT,تنها 17 راي آري از 100 راي  بدست آمد,برگه اي که نشان دهنده ي عقيده و نظر کسي است و براي انتخابات و تصميم گيري درباره ي امري به کار مي رود,7
31239,رسيدگي,10138,Noun,POSSESSION,او مسئول رسيدگي به امور شرکت است,سر و سامان دادن به امور مالي,7
32771,صدا,13126,Noun,COMMUNICATION,--نامعلوم--:خواننده‌ها خيلي مواظب صدايشان هستند. * --ساير--:آواهاي زباني در زبان‌هاي مختلف متفاوت هستند براي همين دايرة درک هر کس از آواهاي زبان به اندازة همان آواهايي است که از هنگام تولد شنيده و تشخيص داده‌است. *,--نامعلوم--:صوتي که با استفاده از ارتعاش تارهاي صوتي و تغييرات حاصل از تشديد در حفرة گويايي ايجاد مي‌شود و داراي معاني شناختي براي شنوندة انساني است.  *,7
48324,جداشدن,17109,Verb,social,شرکاي تجاري به خاطر مسئله ماليات از هم جدا شدند.,پايان دادن به يک ارتباط و يا همکاري,7
20915,رسيدگيکردن,9677,Verb,social,--نامعلوم--:ميشه لطفاً ترتيب ناهار رو بدي. * --ساير--:بايد خودم ترتيب اين موضوع را بدهم. *,--نامعلوم--:کاري را انجام دادن يا مقدماتش را فراهم کردن  *,7
22958,نوشتن,7625,Verb,creation,از روي سرمشق استاد بارها نوشتم.,شکل نوشتاري را تقليد کردن و از روي آن شبيه آن را به وجود آوردن,7
29344,جان,13878,Noun,PERSON,جان از بدنش خارج شد,بخش غير مادي وجود انسان,7
22894,نشستن,9199,Verb,stative,--نامعلوم--:آنها دو کوچه پايينتر نشستند. *,--نامعلوم--:سکونت کردن در جايي *,7
29588,جهت,13703,Noun,LOCATION,جهت متحرک از آ به ب است,"رياضي: ترتيبي که يک نقطه ي متحرک , بقيه ي نقاط خط را با آن ترتيب طي مي کند",7
65865,جابهجايي,27726,Noun,STATE,--نامعلوم--:بار سنگيني را ديروز بلند کرد که منجر به جابه‌جايي مهره‎هاي گردن و کمرش شد. *,--نامعلوم--:جابه‎جايي يا حرکت بخشي از بدنه‌ويژه استخوان‌ها از جاي اصلي و طبيعي‎شان را گويند.  *,7
33757,فضا,10220,Noun,STATE,فضاي خفقان آوري بر جامعه حاکم است,اوضاع و احوال حاکم بر جايي,7
136490,نفتي,43198,Adjective,social,سخن:بابا گفت: فردا بايد بروي کار. مي‌بَرَم پيش حاجي رضا نفت‌فروش   *,--ازخودم--:ويژگي آن‌که فروشندهٔ نفت است *,7
14803,حامي,608,Adjective,behavior,صدري افشار:شما هميشه تکيه‌گاه ما بوده‌ايد. *,--نامعلوم--:ويژگي آن‌که از کسي حمايت مي‌کند *,7
36117,نماينده,13652,Noun,PERSON,نماينده ي دائم ايران در سازمان ملل,کسي که از سوي نهاد يا دولتي براي انجام کاري يا مذاکره درباره ي امري انتخاب يا تعيين مي شود,7
36038,نقش,12786,Noun,ARTIFACT,بر روي در کالسکه نقش زيبايي رسم شده‌بود.,تزئيني که بر روي جايي با استفاده از خطوط و علائم ايجاد مي‌نمايند.,7
32532,شماره,10172,Noun,COMMUNICATION,شماره آپارتمان خود را حتما در آدرس قيد کنيد.* نمره ماشيني که به عابري زد و متواري شد را برداشتند.,عددي که نماد و نشانه ي شناسايي چيزي است,7
23803,گذراندن,9341,Verb,stative,--نامعلوم--:او همه عمر را تنها در راه آموختن و فراگرفتن صرف مي کند *,--نامعلوم--:زماني را به انجام کاري يا در حالت خاصي سپري کردن *,7
56520,پدر,23149,Noun,PERSON,پدر ملت,مردي که رهبري همراه با حمايت و دلسوزي گروهي را برعهده دارد,7
20120,جمعشدن,8382,Verb,stative,--نامعلوم--:اين دو صفت با هم جمع نمي شوند. *,--نامعلوم--:در کنار هم قرار گرفتن و داراي ويژگي هاي يکسان بودن  *,7
26460,اهنگ,14449,Noun,RELATION,آهنگ تغيير سرعت اين جسم يکنواخت است,فيزيک: سرعت تغيير يک کميت يا وقوع يک حادثه,7
64012,اول,26857,Adverb,ترتيب,در آغاز از حضور همه عزيزان سپاسگزاري مي‌کنم.,در ابتداي امر، به عنوان مقدمه,7
146128,شيري,45939,Adjective,social,--ازخودم--:آن‌ها با هم خواهر و برادر رضاعي بودند و نمي‌توانستند با يکديگر ازدواج کنند. *,سخن:ويژگي کساني که از طريق شير خوردن از يک زن با يکديگر نسبت خويشاوندي پيدا مي‌کنند.     *,7
29723,حد,12359,Noun,SHAPE,حد و کران بالا و پائين اين شکل را مشخص نکرده‌ايد.,خطي که محدوده‌ي يک سطح را مشخص مي‌نمايد.,7
166167,شيلينگ,51185,Noun,QUANTITY,ويکي پديا:شيلينگ کنيا با کد ايزوي KES، يکاي پول رايج در کشور کنيا است. مسئوليت کنترل اين واحد پولي برعهدهٔ بانک مرکزي کنيا قرار دارد. *,وردنت:واحد پول رسمي کشور کنيا معادل صد سنت *,7
37655,چين,10294,Noun,BODY,--نامعلوم--:به‌وسيلۀ اتوي مو مي‌توان فر مو را تا حدودي و براي مدت کوتاهي برطرف کرد. *,--نامعلوم--:حالتي از مو که به‌صورت تاب‌خوردۀ منحني‌شکل يا حلقه درمي‌آيد. *,7
27609,باز,10330,Noun,ANIMAL,--نامعلوم--:باز با سرعت بسيار به طرف خرگوش شيرجه رفت و آن را شکار کرد. *,--نامعلوم--:پرندة بزرگ تيزپرواز با منقار برگشته و محکم و دندانه‌دار که انواع گوناگون دارد. *,7
