word,sentence
تار,تار های عمودی فرش باید به گونه‌ای باشند که تحمل فشار و کشش زیاد را داشته باشند و دچار پارگی نشوند.
تار,در بازار فرش، همه به دنبال قالی‌هایی با تار و پود محکم بودند که دوام و کیفیت بالایی داشته باشند.
تار,وقتی قالی قدیمی خانه را باز کردم، تار های آن به دلیل کهولت زمان پوسیده و شکننده شده بودند.
تار,وقتی نوازنده ماهر تار ایرانی، با مضراب طلایی خود بر تار های ساز ضربه می‌زد، موسیقی دلنشینی در فضا پخش می‌شد.
تار,سیم‌های تار با دقت کوک می‌شدند تا نوای دل‌انگیز ساز به درستی نواخته شود و شنوندگان را مجذوب کند.
تار,نوازنده‌ی جوان با شور و اشتیاق تار را در دست می‌گرفت و از سیم‌های آن صدای جادویی بیرون می‌آورد.
تار,وقتی تار یکی از سیم‌های سازش پاره شد، صدای موسیقی قطع شد و همه جا سکوت حکمفرما شد.
تار,در کنسرت شب گذشته، صدای تار های سه‌تار با دیگر سازها هماهنگی زیبایی داشت و همه را به وجد آورد.
تار,در کلاس موسیقی، استاد به ما نشان داد چگونه باید تار های سه‌تار را به درستی تنظیم کنیم تا صدای بهتری داشته باشیم.
تار,سیم‌های تار سه‌تار بعد از مدتی استفاده نیاز به تعویض دارند تا کیفیت صدای ساز حفظ شود.
تار,نوازنده با انگشتان ماهرش بر تار های سه‌تار نواخت و صدای موسیقی پر احساس در فضا پیچید.
تار,سیم‌های نازک تار باید با دقت نگهداری شوند تا دچار فرسودگی و پارگی نشوند و صدای صاف و واضحی تولید کنند.
تار,هنگام تمرین، با هر ضربه‌ی مضراب بر تار های سه‌تار، انگار صدای دلنشین عشق و امید در فضا پخش می‌شد.
تار,عنکبوت کوچک در گوشه‌ی اتاق تار های خود را با دقت می‌تنید و منتظر طعمه‌ای بود که به دام بیفتد.
تار,هر روز صبح که از خواب بیدار می‌شدم، عنکبوتی را می‌دیدم که مشغول تنیدن تار های جدیدش بود.
تار,در باغچه‌ی خانه، تار های عنکبوت بین بوته‌های گل به چشم می‌خورد و نشان از حضور این موجودات کوچک بود.
تار,بچه‌ها با هیجان به عنکبوتی که در حال تنیدن تار هایش بود نگاه می‌کردند و سوالات زیادی درباره‌ی زندگی او می‌پرسیدند.
تار,در نور خورشید، تار های نازک عنکبوت همچون رشته‌های نقره‌ای می‌درخشیدند و زیبایی خاصی به محیط می‌بخشیدند.
تار,عنکبوت با دقت و حوصله تار های خود را تنیده بود تا به راحتی بتواند شکار خود را به دام اندازد.
تار,هنگام تمیز کردن زیرزمین، تار های عنکبوتی که به گوشه و کنار دیوارها چسبیده بودند به چشم می‌خورد.
تار,کرم ابریشم قبل از تبدیل شدن به پروانه، تار های ظریفی می‌تنید و پیله‌ای امن برای خود می‌ساخت.
تار,وقتی به تار های عنکبوت نزدیک شدم، متوجه شدم که آنها بسیار مستحکم و مقاوم هستند و به راحتی پاره نمی‌شوند.
تار,در کتاب علوم، درباره‌ی ساختار و نحوه‌ی تنیدن تار های عنکبوت مطالب جالبی خواندم که توجه‌ام را جلب کرد.
تار,در کنسرت شب گذشته، نوازنده با مهارت و احساس عمیق، صدای تار را به گوش حاضرین رساند و همه را مجذوب کرد.
تار,وقتی صدای تار در فضای خانه پیچید، همه ساکت شدند و به نغمه‌های دلنشین آن گوش سپردند.
تار,پدرم هر شب با تار اش قطعات سنتی ایرانی را می‌نواخت و ما با لذت به صدای گرم و دلنشین آن گوش می‌دادیم.
تار,در کلاس موسیقی، یاد گرفتیم چگونه باید تار را کوک کنیم و با مضراب به درستی بر سیم‌های آن ضربه بزنیم.
تار,صدای ساز تار با دیگر سازهای ایرانی همچون سنتور و کمانچه هماهنگی زیبایی دارد و احساسات عمیقی را منتقل می‌کند.
تار,نوازنده‌ی معروف با هنرمندی خاص خود، تار را نواخت و صدای ساز او همچون نسیمی ملایم در فضای سالن پیچید.
تار,صدای گرم و پر احساس تار در کنار دیگر سازها، موسیقی سنتی ایرانی را به یک تجربه‌ی فراموش‌نشدنی تبدیل می‌کرد.
تار,وقتی تار در دستش قرار می‌گرفت، با عشق و علاقه‌ی فراوان به نواختن آن می‌پرداخت و از صدای دلنشینش لذت می‌برد.
تار,برای یادگیری نواختن تار، باید صبر و حوصله‌ی زیادی داشت و هر روز تمرین کرد تا به مهارت لازم دست یافت.
تار,در جشنواره‌ی موسیقی، صدای تار همراه با آواز خواننده، شب بی‌نظیری را برای حاضرین رقم زد و همه را به وجد آورد.
تار,شب تیره و تار بود و هیچ نوری در آسمان دیده نمی‌شد، فقط صدای جیرجیرک‌ها سکوت را می‌شکست.
تار,مه غلیظ صبحگاهی، جنگل را تار کرده بود و دیدن مسیر را برای ما دشوار می‌کرد.
تار,وقتی چراغ‌ها خاموش شد، اتاق به طور کامل تاریک شد و دیگر نمی‌توانستم چیزی ببینم.
تار,در این شب تار و سرد، تنها نور ضعیف فانوس می‌توانست راه را برایمان روشن کند.
تار,شیشه‌ی اتاق به دلیل بارش شدید باران، کاملاً تار شده بود و نمی‌توانستم بیرون را ببینم.
تار,فضای تار و مبهم اتاق، حس ترس و دلهره را در دل همه‌ی ما زنده می‌کرد.
تار,وقتی وارد غار شدیم، تیره و تار مطلق ما را احاطه کرد و تنها نور چراغ قوه‌ها می‌توانست کمی راه را نشان دهد.
تار,شب‌های تار و بدون ماه، بهترین زمان برای دیدن ستارگان در آسمان شب هستند.
تار,در این هوای مه‌آلود، جاده کاملاً تار و مبهم شده بود و رانندگی بسیار خطرناک بود.
تار,شیشه‌ی پنجره به قدری کثیف و تار بود که حتی نمی‌توانستم تشخیص دهم بیرون چه خبر است.
تار,در آزمایشگاه، استاد ما نشان داد چگونه می‌توان از چوب گیاهان کاج تار سیاه و چسبناک استخراج کرد.
تار,برای تولید برخی از محصولات صنعتی، نیاز به تار حاصل از تقطیر زغال‌سنگ داریم که ویژگی‌های خاصی دارد.
تار,در فرآیند پالایش نفت خام، تار به عنوان یکی از محصولات جانبی با ارزش به دست می‌آید.
تار,استفاده از تار در ساخت جاده‌ها به دلیل ویژگی‌های چسبندگی و مقاومتی آن بسیار رایج است.
تار,در کارگاه شیمی، روش‌های مختلف استخراج تار از مواد طبیعی و مصنوعی را یاد گرفتیم.
تار,تار به عنوان ماده‌ای با خواص چسبندگی بالا در صنایع مختلف از جمله عایق‌بندی و ضد آب‌سازی به کار می‌رود.
تار,از تقطیر چوب درختان، تار قهوه‌ای رنگی به دست می‌آید که در صنایع مختلف کاربرد دارد.
تار,در ساخت برخی از محصولات دارویی، تار حاصل از تقطیر چوب نقش مهمی در فرآیند تولید دارد.
تار,در گذشته، تار به عنوان یکی از مواد اصلی برای آب‌بندی کشتی‌ها و قایق‌ها مورد استفاده قرار می‌گرفت.
تار,برای تهیه برخی از انواع رنگ‌ها و لاک‌ها، از تار به دست آمده از زغال‌سنگ و چوب استفاده می‌شود.
تار,در کارخانه‌ی تولید پارچه، تار ها از دستگاه‌های بزرگ عبور می‌کردند و به شکل نخ‌های نازک و محکم درمی‌آمدند.
تار,در قدیم، زنان با دست‌های خود پنبه را به تار های نخی تبدیل می‌کردند و پارچه می‌بافتند.
تار,هر تار نخی که از این کارخانه بیرون می‌آید، کیفیت بالایی دارد و در بازارهای جهانی مورد توجه قرار می‌گیرد.
تار,در مراحل اولیه تولید لباس، تار های نخی با دقت انتخاب و به پارچه تبدیل می‌شوند.
تار,برای تولید پارچه‌های مقاوم و با کیفیت، باید از تار های نخی محکم و با دوام استفاده شود.
تار,وقتی که مادرم مشغول ریسیدن تار های نخی بود، بافتن پارچه‌های زیبا و رنگارنگ را به من یاد داد.
تار,در این کارگاه، کارگران ماهر تار های نخی را با دقت و ظرافت به هم می‌بافند و پارچه‌های شگفت‌انگیزی تولید می‌کنند.
تار,هر تار نخی باید به دقت بررسی شود تا هیچ گره یا نقصی در آن وجود نداشته باشد.
تار,در کارخانه‌های مدرن، تار های نخی با دستگاه‌های پیشرفته تولید و به شکل‌های مختلفی بسته‌بندی می‌شوند.
تار,برای تهیه پارچه‌های نخی با کیفیت، انتخاب تار های مناسب و مرغوب اهمیت زیادی دارد.
تار,صدای دلنشین و گیرای تار همیشه قلبم را آرام می‌کند و من را به دنیای دیگری می‌برد.
تار,وقتی نوازنده ماهر تار، مضراب برنجی خود را بر سیم‌ها می‌کشید، صدای موسیقی جادویی همه را مسحور می‌کرد.
تار,در محفل‌های سنتی، صدای تار همراه با آواز خوانندگان، شب‌های دلنشینی را به وجود می‌آورد.
تار,پدر بزرگم با عشق و علاقه‌ی فراوان تار می‌نواخت و از صدای دلنشین آن لذت می‌برد.
تار,در کلاس موسیقی، استاد به ما آموزش داد چگونه باید مضراب را به درستی بر سیم‌های تار بزنیم تا صدای دلنشینی تولید شود.
تار,صدای گرم و پر احساس تار، همواره جزء جدانشدنی موسیقی سنتی ایرانی بوده است.
تار,نوازنده با تمرین‌های پیوسته، مهارت خود را در نواختن تار افزایش می‌داد و به اجراهای بی‌نظیری دست می‌یافت.
تار,صدای تار در فضای خالی اتاق، همچون نسیمی ملایم پیچید و همه را آرام و متحیر کرد.
تار,برای نواختن صحیح تار، باید به جزئیات کوچک مانند تنظیم صحیح سیم‌ها و نحوه‌ی گرفتن مضراب توجه ویژه داشت.
تار,در کنسرت‌های سنتی، صدای تار به همراه دیگر سازهای ایرانی ترکیبی هماهنگ و روح‌نواز را به وجود می‌آورد.
